text,label
very touching landscape  perfect soundtrack,positive
whoever is reading this i hope youre having a great day take care stay safe and keep hydrated if youre having a tough day please take a break and treat yourself to something nice i love you,positive
i really want to know i’ve been supporting you for as long as i can remember since high school i’m currently actually about to finish college at 21 just curious what keeps you motivated to keep uploading this kind of content to this day,positive
such a relaxing mix and just what i need to get my days work in thanks to whoever created this and all have a wonderful day ,positive
these videos have truly saved my exam period thank you sm,positive
for everyone reading this i hope you can relax and destress push your doubt aside and allow clarity to replace anxiety good luck and all the best,positive
i listened to lofi many years ago when i was in college doing my electric circuits homework curse that i failed haha crying at 4am because i didnt understand anythingafter this after 6 years i finally graduated from college im officially a music producer engineer and i want you person who is reading this that you must live your life like if you where listening to this music no worries calm chill no stress just happy and giving love to everyone enjoy your days and dont let anything to move you away this mindset nothing is too bad i cant count the times where life just changed too fast and everything i had planed didnt matter anymore just vibe and smile,positive
this was the perfect background music to get a work presentation done thank you ,positive
i love these beats it really helps while workingstudying also i love the positive vibes in the comments thats a good sign of how good this music is,positive
the legend says bart is still pouring his coffee,neutral
were actually planning a lofi sound bath thanks for being an inspiration ,positive
if you come here because you need that little bit of peace let me tell you please dont give up you have to keep fighting that stronger faster better you is waiting at the end of whatever battle youre fighting its not the end its only the beginning you have to get up despite the numerous times youve been slammed into the ground you have to dust yourself off and ask is that all you got because youre strong know it own it trust me i know and if you have to go down go down fighting with everything youve got never stop fighting please im sure someday we will meet and show our battle scars and talk about how we made it sleep easy tonight you need to rest blessings and love,positive
to everyone studying with this don’t worry about your exam don’t worry about the homework due tomorrow you’re doing amazing and even coming here to study is a start and i’m proud of you you’re doing amazing i believe in you 3,positive
i am leaving a comment here as a reminder so that whenever someone likes this comment and i get a notification i come here to listen this masterpiece again,neutral
you random person i will never meet i wish you success everythings gonna be ok,positive
i am leaving a comment here as a reminder so that whenever someone likes this comment and i get a notification i come here to listen this masterpiece again,neutral
hi every one just got done 12 hrs of math i listened to this almost the whole time thank you for supporting me the whole way lofi,positive
“life is not a problem to be solved but a reality to be experienced”– soren kierkegaard,neutral
lofi got me through my toughest exams sometimes i cry when i listen to this channeltears of joy because today i hold 2 degrees and a fine job thank you,positive
what should i title the next mix  follow my lofi playlist on spotify,neutral
this sound is so calming whoever read this comment i wish you peace of mind health and relaxation,positive
to the person reading this good luck dont stress everything will be fine no matter what difficulty you are facing right now you can overcome it you are strong and brave,positive
the art in these lofi compilations is always so beautiful,positive
your music has been there for me in my lowest moments i hope its with me till the end as i grow and learn,positive
im sitting in contemplation alcohol and drugs are a thing of the past ive learned to forget it the exlover no longer thinks about it focused on myself taking good care of myself hope the future will be better hope everyone has a bright future too,positive
missing my daughter who lives in another city lit a bowl and sitting on the porch looking at the golden hills around my home listening to these beats,neutral
we are people all over the world who come and chillout on our sunday evenings…maybe to ease stress or simply just to fall asleep we are all in this together and let’s conquer this week and be the best person we can be,positive
the art is so relaxing,positive
generally one of the most calming lofi playlists i’ve listened to in a while,positive
explore the abyss but please dont get lost down there also i heard people saying its safer to bring this playlist with you on the journey,positive
its really comfortable i might be late on commenting on this video and maybe nobody will see this comment but i come here every morning and afternoon because of my depression this calming music helped me a lot i just wanted to say thank you for letting me through my tough times,positive
those of you studying get back to work because i personally think you got this and can keep going those of you trying to sleep put the screen brightness on low because we dont want eye strain and have a wonderful rest those of you here in tough times sad emotions and reminiscing feelings feel free to seek refuge in the comments and relax for a while its alright to stop time for a tiny bit,positive
if you need to study and you’re scrolling instead here’s your gentle reminder to get back to work you got this,positive
whenever i draw something related to made in abyss i will put this video it matches perfectly,positive
life is rough and i enjoy that the comments on videos like this one are always so positive and comforting you guys really help restore my faith in humanity thank you,positive
i love this i found myself imagining the mushrooms make a tiny atchoo when they bounce and shake off their spores i like melody mountain,positive
i love that when i see the comments of lo fis and someone says that he managed to finish some work people always answer nice job it motivates a lot i love the fellowship of the lofi community,positive
it’s unreal how a mix can heal the inner turmoil in most of us this is such a great selection of tracks,positive
dude this is so chill sometimes i like to go out on my roof and just listen to this it’s relaxing have a good time whatever you’re doing and take care of yourself you’re loved remember that,positive
what should the next mix be titled  listen to on spotify,neutral
to the person reading this good luck dont stress everything will be fine no matter what difficulty you are facing right now you can overcome it you are strong and brave,positive
love it i hope everyone here is doing well and if not better times lie ahead,positive
thank you so much for featuring my song in this mix secret forest reminds me of the forest id always go to for some peace and relaxation ,positive
wow such a beautiful sound track it’s so relaxing and the perfect way to end my night ,positive
i would like to live in a world where there is only tranquility and peace where there are no problems or bad people where i am relaxed listening to these melodies the sound of nature and being able to enjoy the day without stress,positive
this was the perfect playlist for a rainy afternoon alongside a book and a cup of tea virtualhug,positive
the picture makes me feel so safe and comforted and at peace then again that basically sums up the lofi community lol thanks for another great mix love u guys ,positive
so glad you been dropping mixes again really needed this  love  to whoever comes across this,positive
nice,positive
stop overthinking lofi hip hop mix rainy night with rain sound,neutral
i love how in the lofiverse every lofi maker doesnt compete they all chill together and promote eachother peace if only the real world was like this,positive
man adventure time such a beautiful incomparable creationtruly blessed,positive
i love you truly wonderful playlist 3,positive
its nice to listen at 175x speed,positive
begin to weave and god will give you the thread german proverb,neutral
thank you so much for joining the premiere everyone  as always this compilation is available on vinyl too you can get yours here much love ,positive
she finally done with homework,neutral
i dont know why i feel so relieved watching her sleep i mean shes just a cartoon yet it sometimes feel like she needs rest from all her studying,positive
to the person reading this who may be tired of studying but has to sometimes before studying you need to remind yourself what youre doing this for youre doing this so you can enjoy your life later you could even be doing this in hopes of going to university and partying the heck out of a friday night youll get there you can do it lets try to make it together eh smiles and offers you a hand fix your posture unclench your jaw relax your muscles breath in and breath out repeat with me i got this damn right you have got this believe in yourself 3 now lets get studying dont forget to drink water,positive
i cannot thank you enough for the wonderful music the healthy vibes the artwork the everything thank you,positive
i love the quotes great mix keep doing what youre doing peace and contentment to you and yours cheers,positive
mate bloody banging ,positive
yes these are the beats i love,positive
first one just nailed it ,positive
niceee ,positive
smoke chill lofi hip hop mix stress relief relaxing music,neutral
more relaxing when there isnt any vocals and its just instrumental the vocals killed my vibe,negative
great vibes,positive
thanks for the strong playlistdoes anyone know the name of the guy that is sampled in the first few seconds of the first song i hear him sampled in a lot of other playlists,positive
if you need to study and you’re scrolling instead here’s your gentle reminder to get back to work you got this,positive
life hits hard it hits everybody again and again like tides against the shore get up another wave is coming but thats just fine because you are strong get up i know you fell down before and thats just fine get up youre going to keep falling down of course you are thats all the more reason to get up again because thats what youre made of you are not being measured by how tall you can stand but by how many times you can get up before you give up run until your legs give out swim until you drown climb until you fall life is short endure the agony that comes because it cant last why not see just how far you can go i believe in you im running too im climbing too im swimming until i cant anymore i refuse to drown stay here with me be my brother be my sister we will fight for each other,positive
dealing with cancer and these tunes take me totally out of the dark hopeless area and bring creativity and peace thanks to you and to all the lo fi lovers with a kind heart love you all,positive
the lofi is the only nontoxic and beautiful community on the internet i love you guys,positive
honestly been a horrid year looking at the comment section for the first time and listening to some relaxing music really cures the bad vibes love ya all in this comment section and love to have found a channel like this with such a good community ,positive
i used to listen to lofi because i was depressed i got rid of depression but i still listen to lofi because it makes me go to a whole different dimension,neutral
this mix attacks my bad mojo to non existent almost instantly there is almost nothing more rewarding than feeling a good vibe to just chill easing into relaxation,neutral
today wasn’t a good day for me mentally i came here to find a way to heal and to smile reading the comments have helped me a lot i love the positivity and the community here thank you ,positive
its been a hard year this was really nice to chill to while scrolling through some motivational quotes to get my going reminder if you are someone like me someone who is kind of a perfectionist or if u think ur life isnt good enough or messy heres some motivation life is supposed to be messy thats what makes life life the way i see it if you want to see the rainbow youve got to put up with the rain unknown life is basically an adventure there and ups and downs and smooth roads wont it be boring if your life went exactly the way you wanted it the hard times are an experience and the present time is a moment to appreciate so lets appreciate this beautiful life together whatever you are going through you will get through it the rainbow will be across your head at the right time isfp pisces person 3,positive
i luv this lofi music it makes a lonely soul like me feel wholesome i feel like flying,positive
enjoy,positive
very nice mix,positive
im a hs teacher and ive probably played this playlist as background music in my classroom for my students 100 times since april thanks for making it,positive
great mix,positive
i just cant believe you put chapters in a 3 hour long video and then typed out the names of each song in the description this man is legendary thanks for this awesome video,positive
this playlist is incredibly underrated all of the music is so well arranged and it’s helping me get through my homework,positive
your adventure time intro is 1010 and i now feel things i cannot put into words thanks for that,positive
woah i didnt realize you made all of these i thought it was a compilation thats super impressive great work 3,positive
this made my day after a long challenging day these are just the relaxing nostalgic sounds i needed to wind down thanks for another masterpiece helynt keep up the amazing work many blessings,positive
wonderful as always man ,positive
whoevers reading this i pray that whatever youre going through gets better and whatever youre struggling with or worrying about is going to be fine and that everyone has a fantastic day amen,positive
i love how in the lofiverse every lofi maker doesnt compete they all chill together and promote eachother peace if only the real world was like this,positive
maravilhosa lista gostei muito,neutral
to who ever may be reading this you did your best today and im glad youre here with us tomorrow is a new day get some rest 3,positive
i dont know who needs to hear this but im so proud of you youve made it so far and done so much hang in there a little longer it will get better 3,positive
this sound is so calming whoever read this comment i wish you peace of mind health and relaxation,positive
one day when im older and i open up my café i hope that i can be playing this there have a good rest everyone thank you youtuber who made this rest up and sleep tight everyone byebye,positive
always upvote and praise the content creators who make sleep time lofi last longer than 3 hours and have no ads,positive
respect for not putting any ads and this video lasting longer than 3 hours,positive
i love this comment section so positive and uplifting nice break from all the negative crap happening in the world thank you ,positive
respect to this dude having 20hours lofi no ads and still responding and hearting almost all comments have a nice day anyone reading this,positive
this is the type of song you’d sing as a kid and realise what the lyrics mean when u grow up,neutral
we dont look for old songs we look for the feelings and memories they carry,neutral
maroon 5s music videos always show something beyond expectations this song was like watching a profound thriller the video and the song go so well together its a great song and video,positive
como esse clipe não chegou ainda á 1 bilhão de visualização que injustiça  adoro essa música pra mim é uma das preferidas minhas o clipe nem se fala top demais ,neutral
minha banda favorita ,positive
imagine hearing this when youre 13 and you think its about actual animals man that was the good times,negative
esse clipe é uma obra de arte,neutral
essa música marcou minha vida ,positive
2022 y está canción nos gusta todavía y nos seguirá gustando hasta que estemos en nuestra tumba ,positive
this song never gets old no matter how much i listen i never get bored,positive
what is your favorite animal ,neutral
maroon 5 is like gta wasnt made for kids but its everyones childhood,neutral
i think the fact that a lot of people loved this song before even knowing the lyrics shows how good it is a song that can be enjoyed without having any idea what the lyrics are about is a job done right,positive
a lot of people seem to misinterpret the meaning its saying that you cant leave me even if you want to you cant stay away from me dont deny the fact that even if we should stay away from each other you want me you love me its about a toxic relationship that just wont die because of the raging sexual tension and romance they cant escape from,negative
this is a song that i will listen to over and over again and not get tired of,positive
his ability to sing so flawlessly in such a crazy head voice his vocal range is ridiculous that vocal technique along with the lyrics and instrumental makes this song so impressive and iconic,positive
10 yrs old vibing now knowing what it means and questioning humanity,neutral
sitting here listening to this song at 19 again realizing what it actually means…,neutral
loved it as always  i think you guys literally no my favorites,positive
martin garrix was only 16 when he made this song   ,positive
quality music never gets old,positive
this isn’t a song it’s a memory,neutral
animals is 9 years old and still gives me goosebumps ,positive
9 year old clip and i still feel my childhood coming back to me ,positive
i wish music like this was still played over the radio and at clubs,neutral
i was listening to this song when they just dropped it… 9 years later and it still gives me the same emotions ,positive
a very tearful moment for me as the lion was in need of help and the other one come to help then they actually rolled in the grass to celebrate their victory amazing love that has been,positive
the moment polar bear appeared behind the seal and the subsequent chase with long moment of suspension when we know nothing about the outcome is some of the finest nature moment captured on film,positive
the lion was like thank god you came brother  it was touching how grateful the lion was when his brother arrived these animals are amazing ,positive
i am very thankful for such a long amazing touching and emotional doc and for having sir david attenborough as the narator of most part of the video what a lovely gift have bbc offered us,positive
you bring joy to people all over the world it is simply wonderful thank you very much this is probably the best video on a channel already full of incredibly beautiful videos the quality of the footage is on its own possibly the highest you can find on youtube im so glad i found this gem,positive
adventuresofbissandolee rolosausage awkwardvictoria shorooqabutayeb 9us11 tomppabeatts kylieyenner angusandwinnie ourcatsnorri photomorikencat tammyyallenbaugh bethanywalkerdesign mrchashundley hayleybowker zoreslavtrevyanko mlarsonbookssask mar0414cela chambebambi xbsrax donnabanlaygascol aleksei83al ziggythecaique jeremythemanager hanapapa0801 alexisnash61 buffboysunny chikuwa20210603 mainecoonthomasfeatnaomi sibsi14 51fivebullyz kelskeyy rexfordtheboxer ku424 dugboki royalpersiamkittens,neutral
hahaha this is pawesome hahaha,positive
“until one has loved an animal a part of ones soul remains unawakened” –anatole france,neutral
625 not cute obviously the dog feels bad,negative
where is the fun,negative
o fato de the animals se reverenciar a nós no final do clipe me faz sentir falta desses tempos onde a  era obra prima,neutral
esta melodia la recuerdo mucho pues es cuando mi mejor hermano se quito la vida y ahora la canto n honor a el te amo hermano,neutral
no dejemos morir la buena música tiene que quedarse para la eternidad,neutral
обажаю музыку 60х70х вечная настоящее владение инструментом голосом талантом без электронной обработки,neutral
what a heroic defense of her cubs made the cougar mom loved it,positive
the turtle segment is pure comedy  bro was stuck on his shell helpless watching hurt ,neutral
“all he could do is look on humiliated as the victor claims his reward”…  he was stuck on the side of his shell looking helpless,negative
and the mother cougar is so much smaller than some of the massive male cougars that was amazing,positive
i love this so much please do a part two i can watch this all day,positive
i love watching these clips they really show you how powerful these animals really are,positive
lol the tortoise segment was pure gold bro shot the fade and flipped him over helplessly then proceeded to clap tortoise cheeks and made em watch ,positive
i can’t believe they just showed that tortoise hitting it from the back like that ,negative
the turtle segment is hilarious,positive
the arsenal of weaponry the tactics the engagement pressed by an urgency the primal intent to disable like you dont play boxing nature dont play there is much to learn within these segments very much to learn,negative
this song on full volume will result in either a speeding ticket or a pregnancy or both,negative
i grew up listening to nickelback i actively like them my parents have literally seen them live over 5 times like come on,positive
god i love this song so much it never understood the hate this band gets the guitar the voice and drums just rule,positive
i have been listening to nickelback since i was 9yrs old this was the first song i heard and i still love them so much im 21yrs old now my first concert ever was nickelback 18 nov 2014 ziggo dome amsterdam i really dont get why some people hate them they are amazing 3 3 nickelback,positive
say what you want about nickel back i was never a giant fan but the drums and bass in this song are top tier great song,positive
282022first classexcellent and marvelousi am awaiting more videos like thisthanks and god bless you with good health,positive
mulțumesc frumos sunt super,neutral
every animal is beautiful zebras are my favorite animal and they are more beautiful than any other animal ,positive
amazing footage,positive
great i really like this video every animal is interesting and amazing,positive
the world of wildlife is diverse and rich many rare animals need to be preserved good and relaxing music thanks for this video ,positive
thanks for all the support,positive
dudes beating those drums like they owe him money,negative
this song wants to make me tell my parents they can sleep in my room if theyre scared,neutral
my 6 year old daughter ‘dad what did he say’ me ‘we’re just a bunch of ducks and animals’,neutral
i actually like the fact that every maroon 5 is different from one another it makes them special they are a band that always keeps moving and doesnt get stuck in any sort of rut,positive
a moment of silence for those kids who thought this was about animals ,neutral
hidden meaning aside this song is a banger,positive
meanwhile in a parallel universe just like humanshumans,neutral
the greatest music of all time never get bored of listening to it itd been 7 years,positive
me estoy aprovechando de ti esta noche cazarte comerte vivo como animales animales como animalesmals tal vez pienses que puedes esconderte puedo oler tu esencia desde millas como animales animales como animalesmals bebé soy entonces ¿qué intentas hacerme es como si no pudiéramos parar somos enemigos pero nos llevamos bien cuando estoy dentro de ti eres como una droga que me esta matando te corté por completo pero me pongo tan alto cuando estoy dentro de ti sí puedes empezar de nuevo puedes correr libre puedes encontrar otros peces en el mar puedes fingir que está destinado a ser pero no puedes alejarte de mi todavía puedo oírte hacer ese sonido tirándome rodando por el suelo puedes fingir que fui yo pero no bebé me estoy aprovechando de ti esta noche cazarte comerte vivo como animales animales como animalesmals tal vez pienses que puedes esconderte puedo oler tu esencia desde millas como animales animales como animalesmals bebé soy entonces si corro no es suficiente sigues en mi cabeza siempre atascado para que puedas hacer lo que quieras hacer amo tus mentiras me las comeré pero no niegues al animal que cobra vida cuando estoy dentro de ti sí puedes empezar de nuevo puedes correr libre puedes encontrar otros peces en el mar puedes fingir que está destinado a ser pero no puedes alejarte de mi todavía puedo oírte hacer ese sonido tirándome rodando por el suelo puedes fingir que fui yo pero no bebé me estoy aprovechando de ti esta noche cazarte comerte vivo como animales animales como animalesmals tal vez pienses que puedes esconderte puedo oler tu esencia desde millas como animales animales como animalesmals bebé soy no digas mentiras no puedes negar la bestia dentro si si si no chica no mientas no puedes negar la bestia dentro si si si woah woah woah como animales bebé me estoy aprovechando de ti esta noche cazarte comerte vivo como animales animales como animalesmals tal vez pienses que puedes esconderte puedo oler tu esencia desde millas como animales animales como animalesmals bebé soy no digas mentiras no puedes negar la bestia dentro si si si no chica no mientas no puedes negar la bestia dentro si si si,neutral
essa música me inspira demais,neutral
i used to love this as a kid i still love it bc its so addicting,positive
quase uma década dessa música estou envelhecendo ,positive
i’m gonna say it if you knew this song’s actual meaning before you were 12 your either lying or lost your innocence too early in which case rip you my guy,negative
once there was a fox near my house we live in almost in the middle of a large town my mom managed to record it but when we checked on our chickens one of them was gone we later found her hiding under our side porch the chicken that went missing was a polish chicken and i named them dawn,neutral
one time me and my family went to a bird sanctuary in florida while on vacation and saw one of the the only leucistic screech owls in the world his name was luna and he was nine years old about six years older than screech owls live in the wild,neutral
a note to the channel all peacocks are male females are peahens saying the male peacock is like saying the female cow,neutral
ive seen a blue lobster at an aquarium once pretty neat and very different from a standard lobster,positive
ive seen three of those bicardinals and i never knew it was rare my grandma told me that it was because of the weather,neutral
747 i actually might have found a new species of cockroach yesterday it looks like a smokeybrown cockroach but it is small has a completely black thorax and is really fat and has really tiny antennae if anyone knows this species please tell me or maybe its a new species i discovered,neutral
great this is one of the most wild raw videos i have ever seen beautiful animals spectacular scenery amazing music,positive
какая прекрасная съёмка большое спасибо авторам,neutral
great filming beautiful and spectacular scenery and music but above all wonderful animals,positive
nature is our key ally we need to reconnect with nature protect and restore it…because the sad truth is almost all the stunning animals in this video are disappearing at an alarming rate but these videos do help with sharing the message and showing how beautiful and important nature and biodiversity is ,positive
this is probably the best video on a channel that is already full of videos that are incredibly beautiful the quality of the footage is in its own league possibly the highest quality you can find on youtube i am so glad that i found this gem and i’m sorry for people who don’t know this channel i hope there will be many more videos showing the beauty of many more places on this planet these videos give people the chance to see the world and the only thing they need is an internet connection you bring joy to people all over the world it’s simply fantastic thank you so much,positive
amazing nature and wildlife on earth,positive
очень интересный и красивый фильм спасибо автору за прекрасную работу наша земля удивительно и прекрасно создана особенно восхищает и завораживает природа с чудными разными животными и дикими зверями честь и хвала нашему творцу за то что он создал для нас все это и подарил нам жизнь,neutral
this is absolutely stunning i love the voice over there is always something special about watching nature and animals,positive
documentaries of all kinds literally never fail to keep me intrigued especially animal crime or history ones,positive
i absolutely love natureit just calming to me n watching the behavior of all the animals is very fascinating,positive
this was absolutely incredible the beautiful area where so many are nourished the wonderful narration and the exquisite music what a wonderful combination plus the positivity of the focus that they will have all they need thankyou so much for doing this may be the best documentary ive ever seen,positive
just a complete kick in the gut every time i hear it such a good album but goddamn dark af truly a masterwork,positive
its blues its jazz its symphony and progressive rock rolled into one in a class by itself,neutral
my family actually saw a moose around that size it was insane,positive
the alligator at 155 is oh my god extremely huge and tall that was very surprising to me,positive
this man is amazing because he talks on best fact,positive
a vulture is 15 meters 50 ft 80 kgs 176 lbs yeah i dont think so,neutral
i live in australia average crocodile is 73ft,neutral
man i seen an moth like that at my aunt lol and then my sis started to say a story about her friend having a pet moth and she let it free lol,neutral
500 its usually not a vulture its a condor or a andean condor,neutral
the one that i thought was the craziest was the one right before the last one,neutral
357 moose aren’t the size of deers do you usually 62 feet and a deer is 53 feet,neutral
841 i have seen one of those big spiders in my bathroom when my sister was just about to take a bath the spider was just hanging on the corner of our wall,negative
“as a rule fight’s between two rhinos don’t even end with injuries” pretty certain that rhino fights have the highest mortality rate of any mammal other than humans,negative
i cant even imagine what the poor warthog had gone through the air mr narratorthe air,negative
the best part of this video is you getting the names of animals wrong the goat in the second clip made me roar,positive
maybe 60 years ago i saw a clip on tv that i dont see here of a fight between a tiger i assume male and a male lion in a clearing in a forest they fought for a while and then the lion ran away tigers are on average bigger and heavier than lions,neutral
the african leopard is the worst case scenario for humans a complete predator which intermediates between lions and cheetahs swift stealth agile and resentful you can run and climb but you cant hide,negative
this lion 1937 fully has a horn in its bicep and its still trying to take a bite out of the buffalo savage,neutral
900 for those who dont knowthe giant megalodon is simply just a normal and harmless whale shark you can tell by the white spots covering its back and its round head though i am a believer of megs still existing its very clear from the gate way that this find isnt as rare or mega as they think,neutral
also i think what you call shapeshifter is a newly discovered type of squid the lights are possible for a sea creature as we see deep water has lights well its no underwater electricity but its something,positive
for the megalodon vs whale i think that the creature that just scooped up the whale it not a shark it doesnt seem like a normal attack of a shark,negative
i wasnt there and im not a marine biologist but the possible megalodon at 900 is clearly a whale shark,neutral
